source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-5d74868576-t6dbv,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-5d74868576-t6dbv,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
source,destination
cartservice,redis-cart
frontend,adservice
checkoutservice,cartservice
frontend,cartservice
frontend,checkoutservice
checkoutservice,currencyservice
frontend,currencyservice
checkoutservice,emailservice
istio-ingressgateway,frontend
checkoutservice,paymentservice
checkoutservice,productcatalogservice
frontend,productcatalogservice
recommendationservice,productcatalogservice
frontend,recommendationservice
checkoutservice,shippingservice
frontend,shippingservice
adservice-666b8f9776-2b5h4,dell2018
cartservice-7c7b67d59c-s5trb,dell2018
checkoutservice-5874d57bf8-nqjbz,dell2018
emailservice-54dcbc9c9d-hvjtf,dell2018
loadgenerator-bb7f95c5-kbjv4,dell2018
paymentservice-84ff8bdc4-4bqdm,dell2018
paymentservice-84ff8bdc4-l2k78,dell2018
productcatalogservice-69864f99f4-82c8z,dell2018
productcatalogservice-69864f99f4-pktrx,dell2018
recommendationservice-57784c5cbb-c5gql,dell2018
redis-cart-66fc6f5646-j7gr7,dell2018
shippingservice-7b678c856b-7k6vs,dell2018
shippingservice-7b678c856b-ft9xn,dell2018
shippingservice-7b678c856b-qbzf6,dell2018
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz
